value,5-card,6-card,7-card,8-card,hand,rank
1686,64,0,0,0,"['K', 'K', 'K', 'A', '2']",3K
1687,64,2304,35420,300300,"['K', 'K', 'K', 'Q', 'J']",3K
1688,64,2048,28336,218400,"['K', 'K', 'K', 'Q', 'T']",3K
1689,64,1792,21252,136500,"['K', 'K', 'K', 'Q', '9']",3K
1690,64,1536,15180,78000,"['K', 'K', 'K', 'Q', '8']",3K
1691,64,1280,10120,39000,"['K', 'K', 'K', 'Q', '7']",3K
1692,64,1024,6072,15600,"['K', 'K', 'K', 'Q', '6']",3K
1693,64,768,3036,3900,"['K', 'K', 'K', 'Q', '5']",3K
1694,64,512,1012,0,"['K', 'K', 'K', 'Q', '4']",3K
1695,64,256,0,0,"['K', 'K', 'K', 'Q', '3']",3K
1696,64,0,0,0,"['K', 'K', 'K', 'Q', '2']",3K
1697,64,2048,28336,214500,"['K', 'K', 'K', 'J', 'T']",3K
1698,64,1792,21252,136500,"['K', 'K', 'K', 'J', '9']",3K
1699,64,1536,15180,78000,"['K', 'K', 'K', 'J', '8']",3K
1700,64,1280,10120,39000,"['K', 'K', 'K', 'J', '7']",3K
1701,64,1024,6072,15600,"['K', 'K', 'K', 'J', '6']",3K
1702,64,768,3036,3900,"['K', 'K', 'K', 'J', '5']",3K
1703,64,512,1012,0,"['K', 'K', 'K', 'J', '4']",3K
1704,64,256,0,0,"['K', 'K', 'K', 'J', '3']",3K
1705,64,0,0,0,"['K', 'K', 'K', 'J', '2']",3K
1706,64,1792,21252,132600,"['K', 'K', 'K', 'T', '9']",3K
1707,64,1536,15180,78000,"['K', 'K', 'K', 'T', '8']",3K
1708,64,1280,10120,39000,"['K', 'K', 'K', 'T', '7']",3K
1709,64,1024,6072,15600,"['K', 'K', 'K', 'T', '6']",3K
1710,64,768,3036,3900,"['K', 'K', 'K', 'T', '5']",3K
1711,64,512,1012,0,"['K', 'K', 'K', 'T', '4']",3K
1712,64,256,0,0,"['K', 'K', 'K', 'T', '3']",3K
1713,64,0,0,0,"['K', 'K', 'K', 'T', '2']",3K
1714,64,1536,15180,74100,"['K', 'K', 'K', '9', '8']",3K
1715,64,1280,10120,39000,"['K', 'K', 'K', '9', '7']",3K
1716,64,1024,6072,15600,"['K', 'K', 'K', '9', '6']",3K
1717,64,768,3036,3900,"['K', 'K', 'K', '9', '5']",3K
1718,64,512,1012,0,"['K', 'K', 'K', '9', '4']",3K
1719,64,256,0,0,"['K', 'K', 'K', '9', '3']",3K
1720,64,0,0,0,"['K', 'K', 'K', '9', '2']",3K
1721,64,1280,10120,35100,"['K', 'K', 'K', '8', '7']",3K
1722,64,1024,6072,15600,"['K', 'K', 'K', '8', '6']",3K
1723,64,768,3036,3900,"['K', 'K', 'K', '8', '5']",3K
1724,64,512,1012,0,"['K', 'K', 'K', '8', '4']",3K
1725,64,256,0,0,"['K', 'K', 'K', '8', '3']",3K
1726,64,0,0,0,"['K', 'K', 'K', '8', '2']",3K
1727,64,1024,6072,11700,"['K', 'K', 'K', '7', '6']",3K
1728,64,768,3036,3900,"['K', 'K', 'K', '7', '5']",3K
1729,64,512,1012,0,"['K', 'K', 'K', '7', '4']",3K
1730,64,256,0,0,"['K', 'K', 'K', '7', '3']",3K
1731,64,0,0,0,"['K', 'K', 'K', '7', '2']",3K
1732,64,768,3036,0,"['K', 'K', 'K', '6', '5']",3K
1733,64,512,1012,0,"['K', 'K', 'K', '6', '4']",3K
1734,64,256,0,0,"['K', 'K', 'K', '6', '3']",3K
1735,64,0,0,0,"['K', 'K', 'K', '6', '2']",3K
1736,64,512,1012,0,"['K', 'K', 'K', '5', '4']",3K
1737,64,256,0,0,"['K', 'K', 'K', '5', '3']",3K
1738,64,0,0,0,"['K', 'K', 'K', '5', '2']",3K
1739,64,256,0,0,"['K', 'K', 'K', '4', '3']",3K
1740,64,0,0,0,"['K', 'K', 'K', '4', '2']",3K
1741,64,0,0,0,"['K', 'K', 'K', '3', '2']",3K
1742,64,2560,44528,436800,"['Q', 'Q', 'Q', 'A', 'K']",3K
1743,64,2304,36432,323700,"['Q', 'Q', 'Q', 'A', 'J']",3K
1744,64,2048,28336,218400,"['Q', 'Q', 'Q', 'A', 'T']",3K
1745,64,1792,21252,136500,"['Q', 'Q', 'Q', 'A', '9']",3K
1746,64,1536,15180,78000,"['Q', 'Q', 'Q', 'A', '8']",3K
1747,64,1280,10120,39000,"['Q', 'Q', 'Q', 'A', '7']",3K
1748,64,1024,6072,15600,"['Q', 'Q', 'Q', 'A', '6']",3K
1749,64,768,3036,0,"['Q', 'Q', 'Q', 'A', '5']",3K
1750,64,512,1012,0,"['Q', 'Q', 'Q', 'A', '4']",3K
1751,64,256,0,0,"['Q', 'Q', 'Q', 'A', '3']",3K
1752,64,0,0,0,"['Q', 'Q', 'Q', 'A', '2']",3K
1753,64,2304,35420,300300,"['Q', 'Q', 'Q', 'K', 'J']",3K
1754,64,2048,28336,218400,"['Q', 'Q', 'Q', 'K', 'T']",3K
1755,64,1792,21252,136500,"['Q', 'Q', 'Q', 'K', '9']",3K
1756,64,1536,15180,78000,"['Q', 'Q', 'Q', 'K', '8']",3K
1757,64,1280,10120,39000,"['Q', 'Q', 'Q', 'K', '7']",3K
1758,64,1024,6072,15600,"['Q', 'Q', 'Q', 'K', '6']",3K
1759,64,768,3036,3900,"['Q', 'Q', 'Q', 'K', '5']",3K
1760,64,512,1012,0,"['Q', 'Q', 'Q', 'K', '4']",3K
1761,64,256,0,0,"['Q', 'Q', 'Q', 'K', '3']",3K
1762,64,0,0,0,"['Q', 'Q', 'Q', 'K', '2']",3K
1763,64,2048,27324,195000,"['Q', 'Q', 'Q', 'J', 'T']",3K
1764,64,1792,21252,136500,"['Q', 'Q', 'Q', 'J', '9']",3K
1765,64,1536,15180,78000,"['Q', 'Q', 'Q', 'J', '8']",3K
1766,64,1280,10120,39000,"['Q', 'Q', 'Q', 'J', '7']",3K
1767,64,1024,6072,15600,"['Q', 'Q', 'Q', 'J', '6']",3K
1768,64,768,3036,3900,"['Q', 'Q', 'Q', 'J', '5']",3K
1769,64,512,1012,0,"['Q', 'Q', 'Q', 'J', '4']",3K
